VendorNumber,VendorName,TotalPurchaseSpend,TotalSalesRevenue,SalesToPurchaseRatio
2000,SOUTHERN GLAZERS W&S OF NE ,3740617.38,5769934.33,1.54
8892,TRINCHERO FAMILY ESTATES   ,2252211.31,3467869.81,1.54
1392,CONSTELLATION BRANDS INC   ,15573917.9,24469172.93,1.57
4692,KOBRAND CORPORATION        ,1808146.33,2840547.87,1.57
8673,STE MICHELLE WINE ESTATES  ,3086650.7,4903385.9,1.59
9815,WINE GROUP INC             ,5258636.79,8341165.72,1.59
9819,TREASURY WINE ESTATES      ,2978686.4,4740218.38,1.59
1590,DIAGEO CHATEAU ESTATE WINES,1365472.83,2185030.89,1.6
516,BANFI PRODUCTS CORP        ,1628866.68,2646325.62,1.62
1601,VRANKEN AMERICA            ,208330.15,341658.31,1.64
