VendorNumber,VendorName,TotalPurchaseSpend,TotalSalesRevenue,EstimatedProfit,EstimatedProfitMargin
3960,DIAGEO NORTH AMERICA INC   ,50959796.85,68742416.99,17782620.139999993,0.259
4425,MARTIGNETTI COMPANIES,27861690.02,41047306.3,13185616.279999997,0.321
1392,CONSTELLATION BRANDS INC   ,15573917.9,24469172.93,8895255.03,0.364
17035,PERNOD RICARD USA          ,24124091.56,32281247.95,8157156.390000001,0.253
12546,JIM BEAM BRANDS COMPANY    ,24203151.05,31906320.54,7703169.489999998,0.241
480,BACARDI USA INC            ,17624378.72,25014556.89,7390178.170000002,0.295
3252,E & J GALLO WINERY         ,12289608.09,18556085.61,6266477.52,0.338
1128,BROWN-FORMAN CORP          ,13529433.08,18478557.47,4949124.389999999,0.268
9165,ULTRA BEVERAGE COMPANY LLP ,13210613.93,17822938.45,4612324.52,0.259
9552,M S WALKER INC             ,10935817.3,15465247.75,4529430.449999999,0.293
